,Blaenau Gwent,Bridgend,Caerphilly,Cardiff,Carmarthenshire,Ceredigion,Conwy,Denbighshire,Flintshire,Gwynedd,Isle of Anglesey,Merthyr Tydfil,Monmouthshire,Neath Port Talbot,Newport,Pembrokeshire,Powys,Rhondda Cynon Taf,Swansea,Torfaen,Vale of Glamorgan,Wrexham
,W06000019,W06000013,W06000018,W06000015,W06000010,W06000008,W06000003,W06000004,W06000005,W06000002,W06000001,W06000024,W06000021,W06000012,W06000022,W06000009,W06000023,W06000016,W06000011,W06000020,W06000014,W06000006
08/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
09/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22/02/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23/02/2020,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24/02/2020,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25/02/2020,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
26/02/2020,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
27/02/2020,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
28/02/2020,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
29/02/2020,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
01/03/2020,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
02/03/2020,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
03/03/2020,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
04/03/2020,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
05/03/2020,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
06/03/2020,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
07/03/2020,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
08/03/2020,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
09/03/2020,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
10/03/2020,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
11/03/2020,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
12/03/2020,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
13/03/2020,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
14/03/2020,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0
15/03/2020,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0
16/03/2020,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0
17/03/2020,5,0,4,2,2,0,0,0,0,0,0,0,0,0,1,0,2,2,3,0,0,0
18/03/2020,5,0,8,2,2,0,0,0,0,0,0,0,0,0,6,0,2,2,3,1,0,0
19/03/2020,12,3,33,34,10,1,1,0,1,1,2,2,16,13,46,2,10,4,20,6,1,2
20/03/2020,13,3,36,40,12,1,1,0,1,3,2,2,19,14,49,2,10,4,22,9,3,2
21/03/2020,15,3,42,53,13,1,1,0,1,4,2,2,28,15,57,2,10,5,26,16,5,3
22/03/2020,23,7,46,64,15,1,1,0,1,4,2,2,32,17,75,2,12,11,30,21,6,4
23/03/2020,25,11,55,77,18,4,1,1,3,4,2,3,37,20,91,4,12,12,32,23,11,5
24/03/2020,28,13,66,88,20,6,1,2,4,4,2,3,41,23,106,6,12,17,37,28,12,7
25/03/2020,31,18,75,113,29,6,2,3,4,4,2,4,50,24,132,9,14,23,46,42,17,7
26/03/2020,35,26,84,132,34,7,3,3,6,6,2,6,53,25,154,9,16,34,59,49,34,12
27/03/2020,40,32,105,161,37,9,6,7,10,8,2,12,60,26,191,13,18,47,69,58,44,17
28/03/2020,46,35,114,196,46,11,7,9,15,10,2,17,65,32,215,16,20,64,78,67,61,20
29/03/2020,51,40,130,229,52,12,7,12,18,11,2,22,68,46,230,19,21,101,93,75,70,21
30/03/2020,54,44,142,268,59,13,9,14,19,14,2,24,75,52,255,21,22,115,101,81,88,24
31/03/2020,59,49,155,297,67,13,10,15,21,15,2,29,80,58,277,22,25,131,113,90,99,25
01/04/2020,68,54,183,352,83,13,11,22,31,16,8,38,91,80,309,27,35,168,142,110,117,28
02/04/2020,83,64,204,411,104,16,14,22,39,18,11,41,94,94,336,31,39,195,159,117,131,33
03/04/2020,89,80,226,482,117,18,15,28,46,18,11,51,100,102,370,34,45,235,184,133,149,42
04/04/2020,97,99,251,566,126,20,19,35,54,19,12,57,106,115,398,40,47,273,211,146,168,48
05/04/2020,106,116,270,629,141,21,21,45,60,25,13,64,113,132,420,49,48,315,254,156,181,51
06/04/2020,118,127,290,675,157,23,24,45,66,29,15,67,123,148,436,53,55,347,292,166,197,57
07/04/2020,122,139,297,704,183,24,26,49,68,29,15,75,129,168,440,63,60,369,320,174,216,61
08/04/2020,138,149,320,781,199,25,33,61,77,35,18,87,139,177,455,76,65,407,366,196,243,64
09/04/2020,143,171,337,856,216,26,38,76,91,42,20,100,144,200,478,82,69,450,405,201,265,74
10/04/2020,158,186,360,920,238,26,45,85,101,47,22,110,157,219,503,86,73,499,458,213,279,82
11/04/2020,165,202,380,999,250,26,53,96,110,61,27,119,171,233,520,99,84,541,506,219,305,91
12/04/2020,170,209,394,1046,264,28,56,110,117,67,27,123,179,256,538,114,92,573,548,227,322,97
13/04/2020,180,222,406,1090,277,29,66,114,126,76,30,127,182,265,548,128,95,607,570,232,330,102
14/04/2020,182,239,419,1130,288,31,76,126,131,83,32,134,185,282,555,129,97,628,611,232,346,109
15/04/2020,190,248,425,1176,307,31,81,133,134,110,36,136,191,298,564,132,107,659,646,234,358,115
16/04/2020,199,269,437,1236,320,31,88,148,146,122,40,142,196,313,577,137,115,687,673,242,377,127
17/04/2020,209,288,449,1281,336,32,102,156,155,128,44,160,202,338,586,146,121,733,720,254,395,141
18/04/2020,219,300,473,1331,353,33,108,165,164,140,45,175,208,363,597,153,123,790,763,265,407,160
19/04/2020,229,315,485,1373,381,33,121,179,174,147,49,189,213,382,607,162,126,833,800,270,418,173
20/04/2020,238,319,508,1411,391,33,131,192,179,164,51,194,215,396,616,165,140,855,826,275,425,178
21/04/2020,240,321,509,1441,407,34,141,198,181,170,55,197,219,406,620,167,143,878,853,277,439,184
22/04/2020,247,329,526,1485,418,35,164,213,195,180,58,204,221,422,630,175,146,912,868,280,451,194
23/04/2020,247,345,541,1520,425,35,176,216,205,186,60,215,224,433,646,182,152,941,900,284,465,202
24/04/2020,251,367,549,1553,431,35,184,221,209,189,66,222,228,448,654,190,153,982,929,285,471,210
25/04/2020,253,371,558,1583,432,35,184,221,209,189,66,225,229,454,656,194,153,989,947,287,479,210
26/04/2020,253,371,558,1584,432,35,184,221,209,189,66,225,229,454,656,194,154,989,947,287,480,210
27/04/2020,262,371,567,1609,440,35,192,229,214,201,69,231,230,461,669,197,157,1009,978,290,494,219
